title,first,last
Alien Abduction,Matty,Beckerman
Amazing Grace,Alan,Elliott
American Woman,Jake,Scott
Assassination Nation,Sam,Levinson
At Any Price,Ramin,Bahrani
Bad Education,Cory,Finley
Begin Again,John,Carney
Bel Canto,Paul,Weitz
Bill & Ted Face the Music,Dean,Parisot
Book Club,Bill,Holderman
Book Club,Erin,Simms
Capone,Josh,Trank
Dark Places,Gilles,Paquet-Brenner
Destination Wedding,Victor,Levin
Dinner With Friends,Nicol,Paone
Disconnect,Henry Alex,Rubin
Dragged Across Concrete,S. Craig,Zahler
Elvis & Nixon,Liza,Johnson
Escape Plan 2: Hades,Steven,Miller
Escape Plan: The Extractors,John,Herzfeld
Face of Love,Arie,Posin
Fatale,Deon,Taylor
Goon: Last of the Enforcers,Jay,Baruchel
The Green Inferno,Eli,Roth
High Strung,Michael,Damian
High Strung,Janeen,Damian
High Strung: Free Dance,Michael,Damian
High Strung: Free Dance,Janeen,Damian
Hostiles,Scott,Cooper
In Secret,Charlie,Stratton
Jane Got A Gun,Gavin,O'Connor
Luce,Julius,Onah
Metallica: Through The Never,Nimrod,Antal
Mosul,Matthew Michael,Carnahan
Murder of a Cat,Gillian,Greene
The Nice Guys,Shane,Black
Out of the Dark,Lluis,Quillez
Pele: Birth of a Legend,Jeff,Zimbalist
Pele: Birth of a Legend,Michael,Zimbalist
Penguin Bloom,Glendyn,Ivin
Pixie,Barnaby,Thompson
A Private War,Matthew,Heineman
The Quiet Ones,John,Pogue
Rebel In The Rye,Danny,Strong
Robot & Frank,Jake,Schreier
The Sea of Trees,Gus,Van Sant
Shadow,Zhang,Yimou
Shadow In The Cloud,Roseanne,Liang
Skiptrace,Renny,Harlin
Songbird,Adam,Mason
The Strangers: Prey At Night,Johannes,Roberts
Suburbicon,George,Clooney
The Big Ugly,Scott,Wiper
The Informer,Andrea,Di Stefano
The Operative,Yuval,Adler
The Peanut Butter Falcon,Tyler,Nilson
The Peanut Butter Falcon,Michael,Schwartz
Unlocked,Michael,Apted
A Walk Among the Tombstones,Scott,Frank
What They Had,Elizabeth,Chomko
Where To Invade Next,Michael,Moore
The Woman In Black,James,Watkins
The Woman In Black: Angel of Death,Tom,Harper
Woodshock,Kate,Mulleavy
Woodshock,Laura,Mulleavy
Acts of Violence,Brett,Donowho
The Birthday Cake,Jimmy,Giannopoulos
Boys From County Hell,Chris,Baugh
The Bridge Curse,Lester,Hsi
End of Watch,David,Ayer
The Farewell,Lulu,Wang
Fukushima 50,Setsuro,Wakamatsu
Guilt By Design,Siu Kwan,Lai
Guilt By Design,Wing Tai,Lau
Guilt By Design,Pak-Lam,Sze
Kung Fury,David,Sandberg
Last Sunrise,Wen,Ren
Leave No Trace,Debra,Granik
Lost In London,Woody,Harrelson
"Love, Wedding, Repeat",Dean,Craig
The Broken Heart Gallery,Natalie,Krinsky
The Front Runner,Jason,Reitman